country,year,iso_code,value
Austria,2019,AT,102.0 
Belgium,2019,BE,96.2 
Bulgaria,2019,BG,100.8 
Cyprus,2019,CY,102.9 
Czech Republic,2019,CZ,97.1 
Germany,2019,DE,97.6 
Denmark,2019,DK,92.3 
Estonia,2019,EE,101.2 
,2019,EL,76.9 
Spain,2019,ES,89.0 
,2019,EU27_2020,95.2 
Finland,2019,FI,102.6 
France,2019,FR,92.0 
Croatia,2019,HR,95.4 
Hungary,2019,HU,99.0 
Ireland,2019,IE,98.1 
Italy,2019,IT,85.2 
Lithuania,2019,LT,119.0 
Luxembourg,2019,LU,98.0 
Latvia,2019,LV,101.6 
Malta,2019,MT,150.3 
Netherlands,2019,NL,90.8 
Poland,2019,PL,125.7 
Portugal,2019,PT,90.1 
Romania,2019,RO,100.6 
Sweden,2019,SE,95.3 
Slovenia,2019,SI,94.9 
Slovakia,2019,SK,98.2 
Austria,2019,AT,26.8 
Belgium,2019,BE,34.0 
Bulgaria,2019,BG,9.9 
Cyprus,2019,CY,1.9 
Czech Republic,2019,CZ,24.5 
Germany,2019,DE,209.3 
Denmark,2019,DK,14.3 
Estonia,2019,EE,2.9 
,2019,EL,16.2 
Spain,2019,ES,86.3 
,2019,EU27_2020,968.8 
Finland,2019,FI,25.1 
France,2019,FR,143.5 
Croatia,2019,HR,6.9 
Hungary,2019,HU,18.2 
Ireland,2019,IE,12.4 
Italy,2019,IT,114.6 
Lithuania,2019,LT,5.6 
Luxembourg,2019,LU,4.4 
Latvia,2019,LV,4.1 
Malta,2019,MT,0.7 
Netherlands,2019,NL,47.8 
Poland,2019,PL,72.7 
Portugal,2019,PT,17.1 
Romania,2019,RO,23.9 
Sweden,2019,SE,30.9 
Slovenia,2019,SI,4.9 
Slovakia,2019,SK,10.3 
Austria,2019,AT,3.02 
Belgium,2019,BE,2.96 
Bulgaria,2019,BG,1.49 
Cyprus,2019,CY,2.14 
Czech Republic,2019,CZ,2.29 
Germany,2019,DE,2.52 
Denmark,2019,DK,2.46 
Estonia,2019,EE,2.18 
,2019,EL,1.51 
Spain,2019,ES,1.83 
,2019,EU27_2020,2.17 be
Finland,2019,FI,4.54 
France,2019,FR,2.13 
Croatia,2019,HR,1.75 
Hungary,2019,HU,1.88 
Ireland,2019,IE,2.49 
Italy,2019,IT,1.92 b
Lithuania,2019,LT,1.98 
Luxembourg,2019,LU,7.08 
Latvia,2019,LV,2.13 
Malta,2019,MT,1.39 
Netherlands,2019,NL,2.76 
Poland,2019,PL,1.91 e
Portugal,2019,PT,1.65 
Romania,2019,RO,1.23 e
Sweden,2019,SE,3.00 
Slovenia,2019,SI,2.33 
Slovakia,2019,SK,1.88 
Austria,2020,AT,94.3 
Belgium,2020,BE,90.3 
Bulgaria,2020,BG,97.5 
Cyprus,2020,CY,85.8 
Czech Republic,2020,CZ,93.9 
Germany,2020,DE,92.0 
Denmark,2020,DK,84.4 
Estonia,2020,EE,96.1 
,2020,EL,68.7 
Spain,2020,ES,76.1 
,2020,EU27_2020,87.6 
Finland,2020,FI,94.0 
France,2020,FR,82.1 
Croatia,2020,HR,89.3 
Hungary,2020,HU,96.0 
Ireland,2020,IE,88.6 
