,country,year,population,co2,co2_per_capita
0,Albania,2019,2885012.0,4.827,1.673
1,Albania,2020,2871951.0,4.711,1.64
2,Albania,2021,2849643.0,5.134,1.802
3,Albania,2022,2827615.0,5.173,1.83
4,Albania,2023,2811660.0,5.144,1.83
5,Andorra,2019,76491.0,0.491,6.419
6,Andorra,2020,77398.0,0.381,4.923
7,Andorra,2021,78375.0,0.41,5.236
8,Andorra,2022,79722.0,0.42,5.263
9,Andorra,2023,80868.0,0.424,5.242
10,Armenia,2019,2903975.0,6.284,2.164
11,Armenia,2020,2890894.0,6.795,2.351
12,Armenia,2021,2870339.0,7.417,2.584
13,Armenia,2022,2880883.0,7.165,2.487
14,Armenia,2023,2943395.0,7.608,2.585
15,Austria,2019,8880875.0,67.946,7.651
16,Austria,2020,8921402.0,62.176,6.969
17,Austria,2021,8967053.0,65.757,7.333
18,Austria,2022,9064679.0,61.489,6.783
19,Austria,2023,9130434.0,58.578,6.416
20,Azerbaijan,2019,10110486.0,37.746,3.733
21,Azerbaijan,2020,10181736.0,36.233,3.559
22,Azerbaijan,2021,10234373.0,38.293,3.742
23,Azerbaijan,2022,10295307.0,40.391,3.923
24,Azerbaijan,2023,10318210.0,43.937,4.258
25,Belarus,2019,9435414.0,62.096,6.581
26,Belarus,2020,9350943.0,59.056,6.315
27,Belarus,2021,9251367.0,60.938,6.587
28,Belarus,2022,9173241.0,59.384,6.474
29,Belarus,2023,9115680.0,56.491,6.197
30,Belgium,2019,11490622.0,99.684,8.675
31,Belgium,2020,11540103.0,91.228,7.905
32,Belgium,2021,11570842.0,94.886,8.2
33,Belgium,2022,11641813.0,89.002,7.645
34,Belgium,2023,11712894.0,83.368,7.118
35,Bosnia and Herzegovina,2019,3345534.0,20.81,6.22
36,Bosnia and Herzegovina,2020,3299352.0,20.832,6.314
37,Bosnia and Herzegovina,2021,3244909.0,21.264,6.553
38,Bosnia and Herzegovina,2022,3204805.0,20.963,6.541
39,Bosnia and Herzegovina,2023,3185071.0,20.179,6.336
40,Bulgaria,2019,6975467.0,42.267,6.059
41,Bulgaria,2020,6933654.0,36.644,5.285
42,Bulgaria,2021,6877222.0,42.425,6.169
43,Bulgaria,2022,6825863.0,46.966,6.881
44,Bulgaria,2023,6795804.0,36.094,5.311
45,Croatia,2019,3986338.0,17.83,4.473
46,Croatia,2020,3953957.0,16.882,4.27
47,Croatia,2021,3924607.0,17.411,4.436
48,Croatia,2022,3907031.0,17.608,4.507
49,Croatia,2023,3896024.0,17.524,4.498
50,Cyprus,2019,1286669.0,7.344,5.708
51,Cyprus,2020,1302250.0,7.015,5.387
52,Cyprus,2021,1317312.0,7.17,5.443
53,Cyprus,2022,1331376.0,7.198,5.406
54,Cyprus,2023,1344979.0,7.174,5.334
55,Denmark,2019,5814619.0,30.942,5.321
56,Denmark,2020,5831530.0,28.294,4.852
57,Denmark,2021,5856773.0,29.588,5.052
58,Denmark,2022,5902898.0,28.432,4.817
59,Denmark,2023,5948134.0,27.265,4.584
60,Estonia,2019,1326821.0,12.288,9.261
61,Estonia,2020,1329674.0,9.198,6.918
62,Estonia,2021,1331750.0,10.391,7.802
63,Estonia,2022,1350092.0,11.757,8.708
64,Estonia,2023,1367194.0,10.019,7.328
65,Finland,2019,5521755.0,42.442,7.686
66,Finland,2020,5529617.0,37.7,6.818
67,Finland,2021,5541068.0,37.798,6.821
68,Finland,2022,5569299.0,36.367,6.53
69,Finland,2023,5601185.0,31.622,5.646
70,France,2019,65729460.0,315.015,4.793
71,France,2020,65905273.0,280.49,4.256
72,France,2021,66083547.0,305.607,4.625
73,France,2022,66277412.0,293.502,4.428
74,France,2023,66438828.0,272.476,4.101
75,Georgia,2019,3796721.0,10.887,2.867
