,Country,2019,2020,2021,2022
0,Albania,59.41,57.07,56.22,55.06
1,Armenia,73.7,74.13,78.22,75.78
2,Austria,67.22,65.35,64.9,64.1
3,Azerbaijan,99.08,99.19,99.43,100.0
4,Belgium,70.21,71.0,67.18,67.09
5,Bulgaria,65.63,62.09,65.86,68.8
6,Bosnia and Herzegovina,79.58,80.53,79.95,78.81
7,Belarus,94.01,92.59,87.69,86.62
8,Switzerland,47.91,47.41,48.3,45.34
9,Cyprus,90.0,87.61,86.87,86.5
10,Germany,78.08,76.68,77.03,78.47
11,Denmark,58.52,55.01,53.53,54.36
12,Spain,72.1,68.7,70.32,71.76
13,Estonia,71.04,62.75,65.31,69.95
14,Finland,39.79,39.27,36.31,35.74
15,France,47.74,46.85,47.34,49.71
16,United Kingdom,77.87,76.21,77.54,77.21
17,Georgia,77.24,77.97,75.86,78.88
18,Greece,83.16,81.17,81.81,81.71
19,Croatia,68.82,68.25,66.42,67.97
20,Hungary,68.28,67.86,67.9,66.04
21,Ireland,86.87,85.91,86.58,85.84
22,Iceland,11.2,10.34,11.11,11.69
23,Italy,78.87,77.58,78.28,78.73
24,Kazakhstan,98.59,98.43,98.46,98.15
25,Lithuania,64.97,65.7,62.69,61.9
26,Luxembourg,78.18,73.45,74.02,71.34
27,Latvia,56.35,53.24,53.05,49.12
28,Moldova,81.65,83.1,83.5,81.27
29,North Macedonia,82.46,78.38,78.0,82.16
30,Malta,87.45,88.58,88.08,87.17
31,Montenegro,69.29,69.86,68.28,72.15
32,Netherlands,89.64,87.77,86.2,83.92
33,Norway,52.11,51.78,50.61,46.54
34,Poland,86.23,85.4,87.22,86.42
35,Portugal,73.11,70.41,67.8,67.38
36,Romania,72.04,70.47,71.19,70.42
37,Serbia,86.62,84.51,82.44,83.02
38,Slovenia,60.99,58.34,58.93,59.15
39,Sweden,26.13,25.17,25.12,24.28
40,Ukraine,70.43,70.44,67.73,65.48
