,Country,Other renewables (including geothermal and biomass) electricity generation - TWh,renewable_other_generation_subindex
0,Albania,0.0,0.0
1,Andorra,0.0,0.0
2,Armenia,0.0,0.0
3,Austria,4.60392184,0.0909208223431121
4,Azerbaijan,0.1018,0.0020104033118270343
5,Belarus,0.39004000000000005,0.007702727973919612
6,Belgium,4.70888202,0.09299363465629444
7,Bosnia and Herzegovina,0.0,0.0
8,Bulgaria,2.04822904,0.040449572155170005
9,Croatia,1.0991602400000002,0.02170683091085067
10,Cyprus,0.05710992,0.0011278386277620528
11,Czechia,5.23907378,0.10346415793927484
12,Denmark,6.90814108,0.13642583208055387
13,Estonia,1.5981949,0.031562046364489935
14,Finland,12.4365198,0.24560334571240158
15,France,9.253244200000001,0.18273823953658444
16,Georgia,0.0,0.0
17,Germany,50.6366058,1.0
18,Greece,0.525270514,0.010373335765723855
19,Hungary,2.0628751999999997,0.040738812710863014
20,Iceland,5.9404743799999995,0.11731580910978041
21,Ireland,0.94535765,0.01866945137938136
22,Italy,24.009016,0.47414347033505155
23,Kazakhstan,0.0043017196,8.495276355983561e-05
24,Kosovo,0.0,0.0
25,Latvia,0.8160337,0.016115489715544877
26,Liechtenstein,0.0,0.0
27,Lithuania,0.600807416,0.011865080735723404
28,Luxembourg,0.320446374,0.006328354140987862
29,Malta,0.0,0.0
30,Moldova,0.0,0.0
31,Monaco,0.0,0.0
32,Montenegro,0.0,0.0
33,Netherlands,8.6799312,0.17141613389892735
34,North Macedonia,0.05353319999999999,0.001057203561617868
35,Norway,0.25863876799999996,0.005107742983831668
36,Poland,7.994348199999999,0.15787685753613445
37,Portugal,3.92483706,0.07750987646174343
38,Romania,0.5276094240000001,0.010419525867983831
39,Russia,0.7727405199999999,0.015260511793624207
40,San Marino,0.0,0.0
41,Serbia,0.0,0.0
42,Slovakia,1.71927272,0.03395315884304394
43,Slovenia,0.280278086,0.005535088333270552
44,Spain,6.16486596,0.12174721947891698
45,Sweden,12.3491626,0.2438781668892981
46,Switzerland,1.96404324,0.03878702391225441
47,Turkey,16.584052399999997,0.3275111381971814
48,Ukraine,0.779056,0.01538523342336662
49,United Kingdom,37.388,0.7383591259586361
50,Vatican,0.0,0.0
